ITE,PR,CATEGORY,ITEM,ITEM,QUANTITY,RPRT,AVERAGE,RECENT,ADJUSTMENTS,
LOC,CA,DESCRIPTION,NUMBER,DESCRIPTION,ON HAND,UOM,COST,COST,QUANTITY,COST/TON
550 ,10 ,MINERAL/VITAMIN PACK,B20812,SAFE-GUARD .5% DEWORMER,225,LB,2.5704,2.57404,0,5140.8
550 ,10 ,MINERAL/VITAMIN PACK,B21365,RFRS SUPDRY 3:1 MIN 50#,2600,LB,0.51422,0.50967,0,1028.44
550 ,10 ,MINERAL/VITAMIN PACK,B21375,RFRS SUPDRY 1:1 MIN 50#,3750,LB,0.58685,0.58017,0,1173.7
550 ,10 ,MINERAL/VITAMIN PACK,B40645,RICH-MIN 1:1 50#,550,LB,0.36182,0.354,0,723.64
550 ,10 ,MINERAL/VITAMIN PACK,B40755,RICH-MIN 2:1 50#,550,LB,0.30909,0.292,0,618.18
550 ,10 ,MINERAL/VITAMIN PACK,B45415,REFRESH DRY RU-1200 MIN,1850,LB,0.453,0.453,0,906
550 ,10 ,MINERAL/VITAMIN PACK,B45505,EQUITY HFR RU MINERAL,5450,LB,0.33115,0.331,0,662.3
550 ,10 ,MINERAL/VITAMIN PACK,B5105,MIN-A-MIX,3600,LB,0.4355,0.44924,0,871
550 ,10 ,MINERAL/VITAMIN PACK,B5125,HI-PHOS-MIX,400,LB,0.63918,0.63806,0,1278.36
550 ,10 ,MINERAL/VITAMIN PACK,B5152,MIN-A-VITE,100,LB,0.5782,0.5782,0,1156.4
550 ,10 ,MINERAL/VITAMIN PACK,B5415,KENT HEIFER MIN 1600B,500,LB,0.51946,0.517,0,1038.92
550 ,11 ,INOCULANT,176000 ,SIL-ALL 4x4 DRY INOCULANT,2035,LB,1.24091,1.24091,0,2481.82
550 ,11 ,INOCULANT,B9641,SIL-ALL 4x4 WS 500g,43,LB,34.9242,34.876,0,69848.4
550 ,1C,MANUFACTURED MINERAL,95150028 ,LARIBEE HEIFER RU MIN (50,500,LB,0.379,0.379,0,758
550 ,1C,MANUFACTURED MINERAL,95150032 ,PORTERDALE HEIFER MIN (50,850,LB,0.37259,0.372,0,745.18
550 ,1C,MANUFACTURED MINERAL,95150033 ,PORTERDALE DRY COW MIN (5,1450,LB,0.37279,0.373,0,745.58
550 ,1C,MANUFACTURED MINERAL,95150036 ,BUTTERVILLE HFR R MIN (TO,1968,LB,0.39,0.39,0,780
550 ,1C,MANUFACTURED MINERAL,95150037 ,BUTTERVILLE DRY COW MIN (,1971,LB,0.448,0.448,0,896
550 ,1C,MANUFACTURED MINERAL,95150077 ,BURGER M DRY MIN 01/17/11,-100,LB,0.574,0.574,0,1148
550 ,1C,MANUFACTURED MINERAL,95150085 ,PORTERDALE LACT R MIN 10/,1900,LB,0.196,0.196,0,392
550 ,1C,MANUFACTURED MINERAL,95150089 ,POMINVILLE LACT MIN (50#),950,LB,0.169,0.169,0,338
